step,wall_time,tag,type,value
8,1745179142.345038,Train/activations/ResidualBlock0_1stConvBlock_forward/max,scalar,0.5356851816177368
9,1745180055.5614014,Train/activations/ResidualBlock0_1stConvBlock_forward/max,scalar,0.7411207556724548
10,1745181105.8337271,Train/activations/ResidualBlock0_1stConvBlock_forward/max,scalar,0.6264086961746216
11,1745182002.4293993,Train/activations/ResidualBlock0_1stConvBlock_forward/max,scalar,0.5765459537506104
12,1745182902.539381,Train/activations/ResidualBlock0_1stConvBlock_forward/max,scalar,0.4606821537017822
13,1745183792.1435716,Train/activations/ResidualBlock0_1stConvBlock_forward/max,scalar,0.5421595573425293
14,1745184693.31489,Train/activations/ResidualBlock0_1stConvBlock_forward/max,scalar,0.5445950031280518
15,1745185595.4931374,Train/activations/ResidualBlock0_1stConvBlock_forward/max,scalar,0.7358098030090332
16,1745186496.719757,Train/activations/ResidualBlock0_1stConvBlock_forward/max,scalar,0.7348834872245789
17,1745187405.2419567,Train/activations/ResidualBlock0_1stConvBlock_forward/max,scalar,0.6544869542121887
18,1745188306.2919862,Train/activations/ResidualBlock0_1stConvBlock_forward/max,scalar,0.737546443939209
19,1745189207.714629,Train/activations/ResidualBlock0_1stConvBlock_forward/max,scalar,0.5945487022399902
20,1745190256.0480537,Train/activations/ResidualBlock0_1stConvBlock_forward/max,scalar,0.753500759601593
21,1745191170.6377544,Train/activations/ResidualBlock0_1stConvBlock_forward/max,scalar,0.37951144576072693
22,1745192071.8583434,Train/activations/ResidualBlock0_1stConvBlock_forward/max,scalar,0.6237895488739014
23,1745192964.1988328,Train/activations/ResidualBlock0_1stConvBlock_forward/max,scalar,0.6298950910568237
24,1745193856.069542,Train/activations/ResidualBlock0_1stConvBlock_forward/max,scalar,0.6669617891311646
25,1745194746.1220467,Train/activations/ResidualBlock0_1stConvBlock_forward/max,scalar,0.7924240827560425
26,1745195628.7144463,Train/activations/ResidualBlock0_1stConvBlock_forward/max,scalar,0.4396071434020996
27,1745196516.4116266,Train/activations/ResidualBlock0_1stConvBlock_forward/max,scalar,0.5868536829948425
28,1745197400.5584598,Train/activations/ResidualBlock0_1stConvBlock_forward/max,scalar,0.5305559039115906
29,1745198281.6252227,Train/activations/ResidualBlock0_1stConvBlock_forward/max,scalar,0.6718222498893738
30,1745199160.7596905,Train/activations/ResidualBlock0_1stConvBlock_forward/max,scalar,0.6119676828384399
31,1745200038.874208,Train/activations/ResidualBlock0_1stConvBlock_forward/max,scalar,0.6460385322570801
32,1745200913.1291692,Train/activations/ResidualBlock0_1stConvBlock_forward/max,scalar,0.5271430015563965
33,1745201943.3655462,Train/activations/ResidualBlock0_1stConvBlock_forward/max,scalar,0.47869807481765747
34,1745202839.3993373,Train/activations/ResidualBlock0_1stConvBlock_forward/max,scalar,0.5110162496566772
35,1745203720.345207,Train/activations/ResidualBlock0_1stConvBlock_forward/max,scalar,0.6517072916030884
36,1745204589.385566,Train/activations/ResidualBlock0_1stConvBlock_forward/max,scalar,0.504088282585144
37,1745205607.472517,Train/activations/ResidualBlock0_1stConvBlock_forward/max,scalar,0.5064204931259155
38,1745206470.3527672,Train/activations/ResidualBlock0_1stConvBlock_forward/max,scalar,0.6609601378440857
39,1745207343.4606836,Train/activations/ResidualBlock0_1stConvBlock_forward/max,scalar,0.6702316403388977
40,1745208209.3657298,Train/activations/ResidualBlock0_1stConvBlock_forward/max,scalar,0.4387306571006775
41,1745209076.021438,Train/activations/ResidualBlock0_1stConvBlock_forward/max,scalar,0.6525358557701111
42,1745209942.7680416,Train/activations/ResidualBlock0_1stConvBlock_forward/max,scalar,0.4330059885978699
43,1745210815.3867338,Train/activations/ResidualBlock0_1stConvBlock_forward/max,scalar,0.630685031414032
44,1745211689.1708639,Train/activations/ResidualBlock0_1stConvBlock_forward/max,scalar,0.5247575640678406
45,1745212555.2647095,Train/activations/ResidualBlock0_1stConvBlock_forward/max,scalar,0.6003135442733765
46,1745213417.3604684,Train/activations/ResidualBlock0_1stConvBlock_forward/max,scalar,0.5169678926467896
47,1745214282.5669682,Train/activations/ResidualBlock0_1stConvBlock_forward/max,scalar,0.6450620889663696
48,1745215148.0734918,Train/activations/ResidualBlock0_1stConvBlock_forward/max,scalar,0.5792416334152222
49,1745216019.6727517,Train/activations/ResidualBlock0_1stConvBlock_forward/max,scalar,0.6525861024856567
50,1745216894.0835123,Train/activations/ResidualBlock0_1stConvBlock_forward/max,scalar,0.43726372718811035
51,1745217756.605997,Train/activations/ResidualBlock0_1stConvBlock_forward/max,scalar,0.5756458640098572
52,1745218620.640689,Train/activations/ResidualBlock0_1stConvBlock_forward/max,scalar,0.715772807598114
